yezijitang	椰子鸡汤:326:true	椰子雞湯:3:true	
zhajizhuanmendian	炸鸡专门店:31:true	炸鸡专门点:1:true	
tuoxienv	拖鞋女:29:true	
dizhidangao	低脂蛋糕:72:true	
yuanyirishilamian	原一日式拉面:92:true	
shuangcenghanbao	双层汉堡:105:true	
baimantou	白馒头:397:true	
yinxingyanjinghuliye	隐形眼镜护理液:5284:true	隐形眼睛护理液:4:true	隱形眼鏡護理液:1:true	
longliyushala	龙利鱼沙拉:128:true	
luobugao	萝卜糕:657:true	蘿卜糕:1:true	
dachifengkaolengmianchaomianjinhuangmenji	大赤峰烤冷面炒面筋黄焖鸡:38:true	
hongdouniunaibing	红豆牛奶冰:108:true	紅豆牛奶冰:2:true	
meizilv	梅子绿:36:true	
