奶茶	奶绿	182674
糊辣汤	胡辣汤,糁汤,撒汤,片儿汤,辣糊汤	9301,1409,314,180,48
煲汤	鸽汤,土鸡煲,鹅煲,脊骨汤,养颜汤	7960,2131,1323,851,440
烤虾	烤羊,烤牛肉,烤豆腐,烤粉,大明虾	48069,34567,5944,4235,2904
豆脑	豆腐脑,绿豆粥,豆沫,绿豆稀饭	15321,13751,762,94
糯米糕	绿豆糕,米饺,黄金糕,马拉糕,糖糕	20015,11838,4871,2654,2530
泡爪	凤爪,泡凤爪,泡椒凤爪,泡椒鸡爪	295112,47350,30677,2305
折耳根	折耳叶	85
荷叶粉	宽粉,川粉,粉带,肥羊粉,细粉丝	59960,5987,4170,1609,1593
棒棒糖	棉花糖,牛奶棒	66805,32689
鸭肉粥	瘦肉粥,鸡粥,鱼片粥,香菇粥,海鲜粥	86580,30668,13286,7934,7712
面窝	老面饼,白面馒头	268,211
火鸡	辣鸡	457706
鸭肉粉	牛肉粉,瘦肉粉,三鲜粉,老鸭粉,杂酱粉	69291,7474,7341,7070,3802
香菇滑鸡	咖喱鸡,辣鸡饭,三杯鸡	112613,2223,0
乳酪	奶酪,奶酪包	229303,4291
香干	酱干	12542
豆腐皮	豆芽,豆皮,干豆腐,黄豆芽,绿豆芽	181404,180583,108895,46151,44483
西米	黑糯米	40932
蚝干粥	干贝,鱼粥,鱼片粥,海鲜粥,咸骨粥	54470,18272,13286,7712,5266
芝麻球	麻团,麻圆,芝麻丸	3645,1431,208
鸡蛋卷	鸡仔饼	1622
包菜	花菜,娃娃菜,菜花,大白菜,空心菜	154568,109314,95267,77320,68843
汤年糕	汤面,汤粉,炒糕,清汤面,鱼汤面	247544,132601,3071,3056,1842
冷粉	河粉,拌粉,捞粉,冬粉,腌粉	220141,44379,9314,2550,1764
拍黄瓜	拌黄瓜,拍青瓜	23582,2424
鸡心	鸡胗,鸡翅尖,鸡翅中,鸡尖,鸡脖	111062,58943,41433,35663,28765
和路雪	雪糕	379065
牛百叶	牛肚,牛肉丸,牛蹄筋,牛肝,牛肠	216315,139724,15760,10178,7185
汤饺	水饺,饺子,蒸饺,鲜饺,干饺	803202,246305,123689,9441,7686
河蟹	大闸蟹,梭子蟹,螃蟹,蟹钳,面包蟹	81389,24704,18818,13487,3444
酸笋	酸豆角,酸萝卜	120258,30104
刀鱼	黄鱼,鲫鱼,带鱼,小黄鱼,黄花鱼	108422,98502,98137,67265,48598
清汤	酸汤,辣汤,红汤,菌汤,高汤	88160,59267,42031,34407,21723
辣汤	红汤	42031
腰花粉	粗粉,瘦肉粉,三鲜粉,煮粉,猪脏粉	15029,7474,7341,5914,326
鸭面	鸭汤,鸭粉,三鲜面,鸡腿面,老鸭粉	87288,11005,7966,7077,7070
撒汤	胡辣汤,糁汤,糊辣汤,酒酿汤圆,鸡血汤	9301,1409,496,320,202
摩卡	卡布奇诺	70047
酸梅汁	柠檬汁,酸梅汤,芒果汁,百香果汁,草莓汁	117054,114640,109175,22609,14088
爆珠	爆爆蛋	29372
稀豆粉	素粉,豆花面	18327,1006
牛尾汤	酱汤,海带汤,海鲜汤,大酱汤,泡菜汤	14798,10251,9428,5892,5397
藕夹	藕合,藕饼,藕盒	2350,2325,2062
土窑鸡	手撕鸡,沙姜鸡,荷叶鸡,纸包鸡,清蒸鸡	38912,2006,1999,1578,1106
沙爹面	面线,煮面,瘦肉面,沙茶面,面结	22062,6863,3417,2659,1373
虾堡	牛肉堡,双鸡堡,鳕鱼堡,蝴蝶虾,蟹黄堡	39358,13485,12739,5972,4952
绿茶饼	南瓜饼,虾饼,猪肉饼,玉米饼,土豆饼	24649,11159,7327,7198,5920
菜花	花菜,包菜,娃娃菜,小白菜,大白菜	154568,110962,109314,78988,77320
豆腐菜	豆芽,小白菜,绿豆芽,老豆腐,烩菜	181404,78988,44483,37365,18401
椰奶冻	椰子冻,椰冻	8731,1255
罗非鱼	黄鱼,鲫鱼,带鱼,黑鱼,草鱼	108422,98502,98137,70156,66503
海草	海蜇,中华海藻,拌海藻	30314,1390,723
肉夹膜	夹馍,肉夹馍,腊汁肉,肉夹饼,菜夹馍	142509,121139,9040,2367,2285
肉圆	瘦肉,咸肉,肉羹,瘦肉粉,醋肉	402538,39595,18957,7474,6466
龙须面	挂面,面条,宽面,阳春面,绿豆面	240528,112956,39528,4868,2970
烤蹄	烤鸭,羊蹄,烤兔,烤全羊	118625,15368,2333,313
鸡丝	鸡丁,素三丝	199640,1530
甜粥	米粥,瘦肉粥,玉米粥,南瓜粥,麦粥	124249,86580,38331,26002,22193
荞面	杂面,莜面,扯面,棍棍面,炝锅面	52051,14580,8947,3598,2221
玉子烧	明太子,厚蛋烧,黑蟹子,绿蟹子	2441,599,348,306
辣年糕	年糕条,打糕	9910,4807
紫米粥	八宝粥,黑米粥,玉米粥,燕麦粥,莲子粥	180091,41047,38331,21060,9929
炸豆腐	炸花,炸面,炸鸡肉,豆腐块,炸鱼丸	12110,5629,3964,2133,2130
梅菜	冬菜	6024
炖排骨	炖鸡,炖肉,炖牛肉,炖鸡汤	107169,23118,8905,8094
大包	三鲜包	3903
凉拌鸡	卤鸡,酱鸡,柠檬鸡	78678,28356,7099
牛仔骨	牛柳	112948
酸菜鸡	尖椒鸡,酸辣鱼	18116,6974
荷塘月色	荷塘小炒	252
牛骨汤	牛肉汤,高汤,海带汤,牛筋汤,牛骨粉	86505,21723,10251,1251,1069
卤肉面	牛肉面,鸡面,排骨面,炸酱面,豚骨面	634624,116379,91944,80841,68068
赤豆糊	红豆沙,豆腐脑,绿豆粥,红豆汤,绿豆冰粥	44304,15321,13751,6033,522
菜饼	油饼,糖饼,玉米饼,葱花饼,豆沙饼	27162,23335,7198,2506,2185
肉条	牛肉干,牛肉粒	141036,70008
海鲜粉	粉干,海鲜面,捞粉,地瓜粉,煮粉	48055,17309,9314,8525,5914
大杂烩	臭大元	0
小白菜	菠菜,大白菜,油菜,白萝卜,鸡毛菜	137940,77320,61617,51486,16303
鱼片粥	瘦肉粥,菜粥,鸡粥,鱼粥,鸡丝粥	86580,37807,30668,18272,12218
饼卷肉	肉夹馍,油饼,饼子,酱香饼,葱花饼	121139,27162,13386,3355,2506
甜酒	米酒,酒酿	60299,36597
翅中	翅根,翅尖,中翅,鸡翅尖,全翅	112069,95348,71694,58943,45126
珍珠汤	嘎达汤	254
线面	粉面,菜面,干面,米面,手工面	103145,54180,52387,49736,29295
大蒜	蒜苔,蒜苗,蒜黄	127662,67839,14107
半只鸡	炸鸡,香鸡,全鸡,炸鸡腿,炸鸡翅	352513,308065,29202,19921,15401
油豆腐	豆芽,腐竹,老豆腐,干豆角,豆泡	181404,175834,37365,30857,24909
素粉	卷粉,羊肉粉,三鲜粉,杂酱粉,梗粉	14121,10732,7341,3802,1566
片片鱼	小鱼,小鱼干,腊鱼,口水鱼,馋嘴鱼	88869,12579,5644,2368,1702
咸肉	瘦肉,肉圆,咸鱼,削骨肉,酱油肉	402538,27994,22871,2912,1762
乱炖	炖菜,一锅炖	4178,289
豌豆	蚕豆,青豆	104811,60647
八珍面	素面,绍子面,姜鸭面,肠旺面,腰肚面	10316,754,706,558,67
辣糊汤	酒酿汤圆,撒汤,枣沫糊	320,314,87
豆沙饼	烧饼,馅饼,菜饼,油饼,糖饼	85499,54199,30328,27162,23335
猪耳	猪手,猪头肉,猪舌,耳尖,猪舌头	80586,65479,32852,11441,6843
炒肉	肉丝,烧肉,回锅肉,炒蛋,拆骨肉	1189845,368636,236937,195222,21107
鸭汤	豆汤,鸭粉,鸭面	59880,11005,10675
光饼	烧饼,大饼,烤饼,紫薯饼	85499,31848,8507,1698
蜂蜜水	柠蜜,蜂蜜茶	14508,4872
赖尿虾	皮皮虾,中虾,大明虾,濑尿虾,海白虾	31838,12846,2904,2889,2826
肉燥饭	鸡饭,卤肉,牛肉饭,鸡排饭,排骨饭	305189,280103,139893,135196,125241
干挑面	三鲜面,鸡腿面,大肉面,爆鱼面,笋面	7966,7077,3934,1731,1276
鱿鱼圈	鳕鱼,鱿鱼须,鱼排,鱼卷,炸鱼	172704,68125,60647,50866,19834
西蓝花	菜花,西兰花,绿甘蓝	95267,73830,473
护心肉	五花肉,肉段,拆骨肉,溜肉段,红焖肉	326174,22798,21107,6303,5766
沙汤	红豆汤,酒酿汤圆,辣糊汤	6033,320,48
水果盘	鲜果切	18101
壽司	寿司	242753
莴笋	青笋,冬笋,莴苣,高笋,窝笋片	32839,25146,14450,3439,136
香芋派	芋丸,水果派,红豆派,菠萝派,香芋丸	9152,7183,5148,3056,2720
肉肉	烤肉,烤肉饭,鸡腿肉,烤鸡肉,龙虾肉	627124,139141,48182,22603,1786
焗面	焗饭,意面,意大利面,肉酱面,千层面	116208,102691,61610,14994,1394
黄花鱼	黄鱼,鲫鱼,带鱼,小黄鱼,海鱼	108422,98502,98137,67265,58945
清酒	烧酒	19125
点菜	花菜,手撕包菜,付菜	154568,42110,86
炸虾	虾卷,炸鱼,炸鸡块,熟虾,炸薯条	25641,19834,11494,6516,5900
辣椒酱	辣椒面	11556
羊骨	羊杂,羊肚,牛骨,羊肉汤,大骨头	73854,40347,19289,13766,8590
面包片	烤面包	3164
猪油	酱油肉,咸猪肉	1762,381
方糕	雪糕,冰糕,奶糕	379065,13299,6742
烂糊面	炸酱面,卤面,菜面,面疙瘩,素面	80841,57648,54180,27774,10316
芝麻酱	辣椒酱	60534
毛蟹	梭子蟹,螃蟹,香辣蟹,花蟹,膏蟹	24704,18818,16872,13478,6337
青豆	豌豆,蚕豆	155206,104811
荷叶饼	油饼,饼子,夹饼,春饼,酱香饼	27162,13386,7358,4594,3355
炸春卷	炸薯条,香芋卷,炸虾饼	5900,3172,399
蹄髈	蹄膀,猪蹄膀	11334,2170
大骨棒	脊骨,棒骨,大骨头,腔骨,酱骨头	21763,20601,8590,7568,2680
泡菜鱼	酸菜鱼,水煮鱼,酸汤鱼,藤椒鱼,滑鱼	187196,75006,9618,5302,4291
冰水	冰粉,刨冰,蜂蜜水	49995,24154,3664
荷兰豆	西兰花,刀豆,长豇豆	73830,11299,6376
砂锅菜	锅锅菜	97
汤团	汤圆,青团,团子	226439,7995,3955
酱肉	香肉,肉丁,煎肉,腌肉,葱花肉	143431,53662,14138,3380,1368
蒸虾	开背虾,麻虾,赖尿虾,虾婆,汉虾	1597,1046,788,336,316
肉片汤	排骨汤,蛋汤,鸡蛋汤,豆腐汤,瘦肉汤	132417,101494,55706,48890,28287
牛柳	牛肉饭,牛扒,牛仔骨,猪柳饭	139893,44464,12715,520
菊花茶	凉茶,柠檬茶,冬瓜茶	281638,171614,22278
炸薯条	薯格,薯饼,炸虾,炸鸡腿,炸鱼	61247,47337,20643,19921,19834
鸡丁	鸡块,鸡杂,辣子鸡,鸡丝,肉丁	355475,131951,112727,71932,53662
餐蛋面	车仔面,公仔面,虾面,鱼蛋粉,斋面	32882,18261,12898,1866,518
溜肝尖	溜肉段,溜豆腐,熘肝尖,油焖尖椒,溜三样	6303,2319,1849,1075,719
菜心	空心菜,苋菜,芥菜,菜苔,春菜	68843,43231,43144,41513,16696
白切鸭	烧鸭,白切鸡,切鸡饭,白斩鸭,鸭比饭	148684,54077,17355,420,410
马蹄糕	米糕,马拉糕,桂花糕,萝卜糕,糯米糕	12086,2654,1996,1961,1632
白蟹	梭子蟹,螃蟹,白虾,花蟹,江蟹	24704,18818,16670,13478,1198
鱼排	鱼豆腐,蟹排,墨鱼肠,鱼板烧,墨鱼烧	196860,23493,2411,1564,1045
粉丝包	菜包,肉包,包子,小笼包,豆沙包	120434,104550,74152,48594,28271
甜虾	熟虾,北极虾,牡丹虾,鳌虾,甘虾	6516,1962,1413,687,402
锅子饼	炒饼,焖饼,锅烙	42811,6216,4236
黑米糕	玉米饼,发糕,马拉糕,炸糕,小米糕	7198,6060,2654,2004,0
夹肉饼	肉夹馍,油饼,腊汁肉,鸡蛋灌饼,油酥饼	121139,27162,9040,6552,4304
太安鱼	酸菜鱼,水煮鱼,糍粑鱼,沸腾鱼,豆花鱼	187196,75006,6403,3446,2783
多宝鱼	草鱼,鲈鱼,鲳鱼,甲鱼,桂鱼	66503,44766,44651,25707,22827
咸蛋	鸭蛋,咸鸭蛋,盐蛋,水煮蛋	110633,65900,4983,2251
韭菜盒	菜饼,韭菜饺	30328,10545
猪杂粥	鸡粥,鱼片粥,咸骨粥,粉肠粥,肉丸粥	30668,13286,5266,2469,2354
榴莲饼	鸡仔饼	1622
鱼块	带鱼,小黄鱼,剥皮鱼,糍粑鱼,滑鱼	98137,67265,11290,6403,4291
苹果汁	橙汁,柠檬汁,芒果汁,梨汁,桃汁	277494,117054,109175,107394,97322
猪爪	猪肚,猪蹄,猪脚,猪心,猪尾	172234,170085,162872,105790,40452
水煮鸡	水煮鱼,水煮肉,尖椒鸡	75006,30954,18116
鸡软骨	脆骨,骨肉相连,鸡中翅,鸡皮,鸡脆骨	179670,52536,42153,22866,22243
东安鸡	土匪鸡,柴火鸡	780,541
猪肘	猪大肠,猪蹄膀,猪梅肉,猪大排,猪小排	12140,2170,2137,0,0
糙米饭	杂粮饭,五谷饭	4476,715
芋头饭	猪脚饭,骨头汤,素饭,戈饭,芥菜饭	31973,12526,2315,901,859
肉酱面	意面,意大利面,焗面,肉酱饭,番茄面	102691,61610,5687,3439,2569
地锅	锅仔,咸鸭锅	58479,330
片鸭	鸭腿肉,片皮鸭	4273,1792
虾饭	鸡饭,牛肉饭,鸡排饭,鸡肉饭,鸡扒饭	305189,139893,135196,48800,36372
明虾	大虾,基围虾,海虾,对虾,白虾	149219,54943,26405,20608,16670
素三鲜	肉三鲜,鲜饺,三鲜鲜肉,三鲜素	31535,9441,2474,1329
圆子	汤圆,酒酿汤圆	226439,320
麻圆	麻球,芝麻球,麻团,麻糍	7166,4381,3645,2013
包脚布	包角布	705
叉烧肉	卤肉,卤肉饭,鸡腿肉,叉烧饭,肉燥	280103,124370,48182,39174,8171
糯玉米	黄玉米	10231
金桔	冰桔茶	1177
茄子煲	茄子饭,肉丝煲,豆腐煲,茄饼,茄角之恋	34394,21664,16336,869,436
炸茄盒	酱茄条,炸丸子,炸三样,茄合,炸千子	1797,1584,544,481,50
沙律	沙拉	502129
玉兰饼	葱油饼,油酥饼,海蛎饼	8595,4304,111
沙姜鸡	白切鸡,油鸡,手撕鸡,切鸡饭,盐鸡	54077,50834,38912,17355,12659
糊涂面	荞面,面食,烫面,发面饼,炝锅面	8047,3756,3609,2307,2221
干豆腐	豆皮,土豆片,豆腐皮,溜豆腐,豆腐块	180583,137739,55779,2319,2133
三文鱼头	多春鱼,鲷鱼,马鲛鱼,银鳕鱼,立鱼	13574,13198,8996,5596,4291
杨梅汁	椰汁,芒果汁,百香果汁,蓝莓汁,菠萝汁	203472,109175,22609,16283,15071
大辣片	辣串	5997
黄鱼	鲫鱼,带鱼,黄花鱼,鲈鱼,鲳鱼	98502,98137,48598,44766,44651
藕盒	藕夹,茄盒,藕合	4582,4375,2350
四宝饭	叉烧饭,切鸡饭,三宝饭,咸鸡饭,拼鸭饭	39174,17355,3531,1674,1042
鸡血汤	骨头汤,芹菜汤,鸭杂汤,带丝汤,撒汤	12526,778,631,415,314
牛肉汤面	肉面,牛肉面,排骨面,豚骨面,筋面	714585,634624,91944,68068,60457
鸭血汤	牛肉汤,豆汤,粉丝汤,鱼丸汤,三鲜汤	86505,59880,51118,9810,9534
冰糖葫芦	棒冰,冰糕	46657,13299
三鲜汤	蛋汤,菜汤,豆汤,鸡蛋汤,豆腐汤	101494,79412,59880,55706,48890
炸酱	杂酱,杂酱面	97698,30580
鱼肉	鱼排,蟹肉,鱼子,鱼味丸,蟹肉排	60647,55307,36055,241,239
三鲜煲	京粉煲	24
可丽饼	可颂	19610
烤饺	煎饺,韭菜饺,炸饺,烤饼,三鲜饺	75128,10545,9570,8507,7041
鸭肉面	面线,煮面,瘦肉面,清汤面,鸭肉粉	22062,6863,3417,3056,1689
猪油渣	酱油肉	1762
鱿鱼丝	海鱼,烤鱼片,鱿鱼仔,鱿鱼片	58945,17236,13995,10399
猪心	猪肝,猪肚,猪腰,猪舌,猪脑	225109,172234,39645,32852,27063
烧味	烧腊	6857
咸鸡	土鸡,咸鸭,白切鸡,腊鸡腿,文昌鸡	184766,70302,54077,7451,6781
醋肉	肉圆,肉羹,罗汉肉,大骨肉,瘦肉羹	27994,18957,6182,5692,1252
白饭	米饭,煲仔饭,白切鸡,蒸饭,切鸡饭	800333,285119,54077,26056,17355
藕带	藕尖,藕丁,藕条,藕丝	12788,12497,4177,2947
蒜苔	蒜苗,蒜台,蒜薹,蒜黄,蒜毫	67839,29644,15859,14107,172
堡仔饭	盖浇饭,煲仔饭,木桶饭,铁板饭,盖码饭	683053,285119,111736,23859,23542
黑胡椒	藤椒	217189
花椒	韭菜花,辣椒面,小米椒	17380,11556,0
墨鱼	鱼肉,鲍鱼,鱼子,鲜鱼,马鲛鱼	71852,66681,36055,21878,8996
黄面	手工面,玉米面,荞麦面,菠菜面,蔬菜面	29295,26142,17403,11554,3606
干捞粉	河粉,汤粉,粉面,螺蛳粉,卤粉	220141,132601,103145,89126,19139
北极贝	赤贝	1849
厚多士	西多士,多拿滋,厚蛋烧	7589,2313,599
核桃包	奶黄包,叉烧包,流沙包,麦包,猪仔包	24248,19787,15497,4372,1002
辣片	辣串	5997
蟹粥	鸡粥,鱼粥,蟹煲,鱼片粥,海鲜粥	30668,18272,13854,13286,7712
千张	千页豆腐	37371
活虾	基围虾,明虾,对虾,白虾,濑尿虾	54943,23263,20608,16670,2889
大头虾	白虾,大明虾,大对虾	16670,2904,19
水晶粉	宽粉,苕粉,紫薯粉	59960,23028,680
葱饼	泡菜饼,糊饼	754,115
手卷	紫菜卷,加州卷,饭卷,太卷,吞沙卷	7755,7039,3679,3113,94
无骨鱼	鳕鱼,鱼块,龙利鱼,巴沙鱼,脆鱼	172704,68202,61941,33380,7714
鸡骨棒	锁骨,鸡架,鸡脖,骨架,鸡叉	105245,29158,28765,15066,12008
味增汤	酱汤,海带汤,大酱汤,泡菜汤,味噌汤	14798,10251,5892,5397,1067
甜沫	豆沫	762
姜汤面	米面,面疙瘩,面线,三鲜面,汤年糕	49736,27774,22062,7966,6098
腊味	双腊	870
伊面	全蛋面,八珍面	1019,255
黯然销魂饭	鸡扒饭,猪排饭,牛扒饭,海鲜饭,鲁肉饭	36372,30831,8981,5632,3103
海锥	海螺丝,海瓜子,海白虾,海丁	8113,6670,2826,1569
多春鱼	鳕鱼,八爪鱼,鲳鱼,秋刀鱼,炸鱼	172704,48460,44651,40649,19834
豆包	豆糕,糖包,牛肉包,芋包,豆蓉	23963,10558,8286,3070,2554
黑芝麻	黑米,黑豆	133872,77654
冰饮	冰桔茶	1177
猪仔包	叉烧包,流沙包,菠萝包,核桃包,金麦包	19787,15497,10120,6325,552
肉筋	牛肉串,羊筋,蒜瓣肉,牛大筋,牛双筋	26436,877,390,60,24
嫩豆腐	豆皮,腐竹,豆腐皮,老豆腐,香豆腐	180583,175834,55779,37365,27804
苹果醋	芒果汁	109175
杂鱼	黄鱼,鱼头,鲫鱼,黑鱼,鲈鱼	108422,107904,98502,70156,44766
大米粥	南瓜粥,麦粥,红枣粥,绿豆粥,百合粥	26002,22193,13950,13751,10759
白馒头	白面馒头,白水蛋	211,172
咸柠七	冻柠,柠茶,柠蜜,柠乐,冻柠茶	32657,21976,14508,13096,7935
羊蛋	羊腰,羊鞭,羊腰子,羊宝,毛蛋	13523,5994,5459,4553,1222
烤豆腐	烤羊肉,烤虾,烤面,烤面包,豆腐块	10592,10089,9072,3164,2133
鱼丸汤	肉丸,鱼汤,青菜汤,小肠汤,鸭血汤	306998,24182,8526,3784,2137
豆腐干	豆干,豆皮,豆筋,豆卷,臭干子	237330,180583,18708,16380,12904
海带丝	笋丝,海带结,海蜇,裙带菜,海白菜	49450,35436,30314,8219,7596
五谷粉	花甲粉,鱼粉,渔粉,玉米粉,杂粮粉	33696,32498,27526,9108,2523
燕麦粥	八宝粥,黑米粥,玉米粥,南瓜粥,紫米粥	180091,41047,38331,26002,24213
蟹粉	蟹肉,蟹面	55307,885
小花卷	油卷,葱花饼,银丝卷	4375,2506,1208
苹果派	香芋派,红豆派,菠萝派,黄桃派	5603,5148,3056,421
糖蒜	甜蒜,咸蒜	1641,542
鲁肉饭	卤肉,鸡排饭,卤肉饭,鸡腿饭,鸡肉饭	280103,135196,124370,81192,48800
玉米片	虾片	83105
青花鱼	鳗鱼,秋刀鱼,多春鱼,鳗鱼饭,烤鳗鱼	90315,40649,13574,11160,8364
虾煲	鸡煲,蟹煲,鱼煲,油焖虾,蟹肉煲	49568,13854,13696,1154,332
草鱼	鲫鱼,带鱼,黑鱼,鲈鱼,鲢鱼	98502,98137,70156,44766,26762
鸭粉	鸭汤,菜粉,鸭面	87288,65179,10675
老酸奶	酸牛奶,烤酸奶	295917,6598
尖椒	青椒,杭椒	560757,35034
烧鱼	剥皮鱼,砂锅鱼,脆鱼,香酥鱼,财鱼	11290,7786,7714,6768,6219
罩饼	烩饼	4984
手撕面	烤面,麻酱面	9072,2512
牡蛎	海蛎	21411
海蛎饼	南瓜饼,玉米饼,绿茶饼,玉兰饼,艾饼	24649,7198,1478,130,87
文昌鸡	白切鸡,麻鸡,咸鸡,清远鸡,湛江鸡	54077,26644,12470,8932,2607
手撕饼	烧饼,大饼,油饼,糖饼,饼子	85499,31848,27162,23335,13386
湛江鸡	草鸡,母鸡,老母鸡,三黄鸡,麻鸡	60044,51445,41304,32236,26644
豌豆面	杂酱面,豌杂,燃面,豌杂面,宜宾燃面	30580,23697,7074,5770,1164
黄辣丁	香辣虾,黄骨鱼,黄腊丁,黄蛏	23844,10313,256,139
鱼子	鳕鱼,墨鱼,鳗鱼,鱼肉,鲍鱼	172704,128691,90315,71852,66681
水晶饺	煎饺,虾饺,蛋饺,燕饺,水晶包	75128,29017,26221,20367,9162
菜团子	包子,肉包子,小笼包子,糊塌子,锅巴菜	74152,15136,492,227,154
醉鹅	鹅杂,鹅煲	3233,1323
虾米	虾仁,虾皮	356980,31837
海鲜汤	海鲜面,菌菇汤,牛尾汤,冬阴功汤,味噌汤	17309,3691,1148,1118,1067
糍粑鱼	鱼块,红烧鱼,滑鱼,盐鱼,瓦块鱼	68202,28581,4291,2380,2049
麻酱面	手撕面,凉拌面,香辣面,热汤面,抻面	45195,19897,3648,2988,1364
鸭仔饭	烧鸭,猪脚饭,切鸡饭,白切鸭,姜母鸭	148684,31973,17355,6158,2365
熏鸡架	骨架,酱骨架,熏肚,桶子鸡,熏口条	15066,1325,289,263,52
杏仁茶	姜母茶,擂茶	7148,1228
千层糕	马拉糕,萝卜糕,钵仔糕	2654,1961,801
水果汁	芒果汁,桃汁,葡萄汁,苹果汁,西柚汁	109175,97322,87751,83902,26300
爬爬虾	龙虾,小龙虾,基围虾,虾尾,皮皮虾	437837,218450,54943,35743,31838
紫薯粥	八宝粥,米粥,黑米粥,玉米粥,南瓜粥	180091,124249,41047,38331,26002
炒鱿鱼	炒蛋,炒鸡蛋,炒青菜,炒腰花,炒口条	195222,141281,10875,4237,673
蘑菇汤	玉米浓汤,玉米汤,南瓜汤	5601,4429,2259
海蜇	海带丝,拌海藻	120610,723
实蛋	石蛋,毛蛋,炸石蛋	4084,1222,89
岩烧乳酪	奶酪包,雪烧	4291,254
牛丸面	牛肉丸,牛筋丸,车仔面,牛腩面,牛肉汤面	139724,40722,32882,22463,19391
肉丝	炒肉,肉片,腊肉,回锅肉,肉沫	748040,524436,247334,236937,207724
鳝丝	鳝糊	802
杂粮包	三丁包	836
小排	排骨,小肠,醉排骨,小杂海,大排	1060636,39043,561,39,6
辣酱	辣椒酱,酱菜,炒酱	60534,9095,2186
红薯粥	米粥,瘦肉粥,菜粥,南瓜粥,麦粥	124249,86580,37807,26002,22193
酱脊骨	骨架,大骨头,酱大骨,酱骨头,酱骨架	15066,8590,3929,2680,1325
雪梨汁	柠檬汁,西瓜汁,百香果汁,柳橙汁,胡萝卜汁	117054,57354,22609,10367,8369
手拉面	面条,香菇面,菠菜面,阳春面,绿豆面	112956,12114,11554,4868,2970
兔腿	兔肉,兔头,烤兔,手撕兔	4955,4324,2333,688
菜粥	瘦肉粥,白粥,鱼片粥,鸡丝粥,百合粥	86580,20837,13286,12218,10759
老汤面	炸酱面,筋面,卤面,凉拌面,牛杂面	80841,60457,57648,19897,15658
沙锅	砂锅,焖锅,砂锅菜,咸鸭锅	430873,9085,2657,330
蚕豆	豌豆,青豆,胡豆	155206,60647,20330
烩肉	烧羊肉	7662
发面饼	烧饼,大饼,油饼,饼子,油酥饼	85499,31848,27162,13386,4304
虾爬子	青虾,虾虎	16447,399
豉油鸡	切鸡饭,酱油鸡,咸鸡饭,油皇鸡,叉鸡饭	17355,4284,1674,1337,189
肉馅	鲜肉,肉三鲜,猪肉饼	535343,31535,7327
牛筋丸	肉丸,鱼丸,牛肉丸,牛丸,牛丸粉	306998,242046,139724,49625,1834
桶子鸡	风干鸡,咸草鸡,熏鸡架	1294,1088,771
碗碗菜	手撕包菜	42110
养生汤	乌鸡汤,炖汤,炖鸡汤,鸽汤,玉米汤	78140,33608,8094,7960,4429
蒸粉	肠粉,捞粉,蒸面,煮粉,猪肠粉	120040,9314,8868,5914,3741
泡粉	汤粉,粉干,滑粉	132601,48055,2854
洛馍	烙馍,白吉馍,卷馍,白馍,干馍	4757,3545,1273,350,325
辣酱面	肉面,鸡面,炸酱面,筋面,辣肉	714585,116379,80841,60457,58689
茼蒿	蒿子秆,蒿子杆,苘蒿,藤蒿	4767,2011,68,39
菜粿	菜饼,粿卷	30328,79
牛奶冰	奶昔,冰沙,双皮奶,沙冰,刨冰	203472,135464,126267,109619,24154
牛丸	肉丸,鱼丸,牛肉丸,贡丸,牛筋丸	306998,242046,139724,56577,40722
青蟹	大闸蟹,梭子蟹,螃蟹,肉蟹,蟹煲	81389,24704,18818,14024,13854
空心粉	薯粉,细粉,红薯粉,粗粉,地瓜粉	76963,68282,60354,15029,8525
明太鱼	海鱼,刀鱼,黄花鱼,香鱼,银鱼	58945,53784,48598,46052,20780
芋饺	蒸饺,煎饺,韭菜饺,炸饺,鱼饺	123689,75128,10545,9570,6006
菠萝派	水果派,香芋派,红豆派,苹果派,黄桃派	7183,5603,5148,2088,421
猪肠	猪肚,猪脚,猪心,大肠,猪腰	172234,162872,105790,103411,39645
菜茶	菜粉,苦菜	65179,10911
奶盖茶	珍奶	16574
豆瓣酱	辣椒酱	60534
马拉糕	米糕,桂花糕,萝卜糕,马蹄糕,黑米糕	12086,1996,1961,1587,930
芸豆	豆角,小土豆,油豆角,溜豆腐,黄豆粒	415752,32060,6218,2319,152
鹅掌	烧鹅,鹅肠,鹅肉,鹅翅,鹅杂	44075,10811,10791,6196,3233
厥根粉	蕨根粉,醋粉	5915,511
地瓜干	红薯干	2541
米浆	豆浆,玉米汁,玉米糊	211438,15017,1204
肋排	汤排,净排,猪小排,猪大排	18785,985,0,0
单饼	大饼,油饼,饼子,饼卷,烤饼	31848,27162,13386,10450,8507
猪尾	猪蹄,猪脚,猪手,猪舌,猪大肠	170085,162872,80586,32852,12140
薏仁	薏米	61178
雪胖子	雪媚娘	28157
猪软骨	猪排,猪扒	134778,77092
南瓜汤	蘑菇汤,玉米汤,蔬菜汤,牛尾汤,脊骨汤	4493,4429,3212,1148,851
竹笋	腐竹,笋尖,脆笋,春笋,鲜笋	175834,51175,41350,18121,10223
黄骨鱼	鱼头,鲫鱼,黑鱼,草鱼,鲈鱼	107904,98502,70156,66503,44766
樱桃肉	肉段,木须肉,锅包肉,京酱肉丝,溜肉段	22798,18102,7297,7125,6303
